Name,Artist,Album,Genre,Year,Date Added,Plays,Skips
H e r O l d F r i e n d s,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),R&B/Soul,2024,2024-05-10 9:36:00,169,5
N o  C h i l l,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),R&B/Soul,2024,2024-05-10 9:36:00,152,15
Just To Keep You Satisfied (Remastered 2003),Marvin Gaye,Let's Get It On (Remastered 2003),R&B/Soul,1973,2024-01-09 19:22:00,129,11
Distractions,NxWorries,Why Lawd?,Hip-Hop/Rap,2024,2024-06-13 23:04:00,157,6
No Money,Kings of Leon,Come Around Sundown (Expanded Edition),Alternative,2010,2023-08-12 12:03:00,292,27
HereIAm,NxWorries,Why Lawd?,Hip-Hop/Rap,2024,2024-06-13 23:04:00,129,5
KeepHer (feat. Thundercat),NxWorries,Why Lawd?,Hip-Hop/Rap,2024,2024-06-13 23:04:00,135,5
POINT ME TO IT,"Concrete Boys, Lil Yachty & Camo!",It's Us Vol. 1,Hip-Hop/Rap,2024,2024-04-04 23:14:00,130,7
Shadowboxing,Domo Genesis & Evidence,Shadowboxing - Single,Hip-Hop/Rap,2023,2024-04-17 22:14:00,125,10
Jack Frost,Nicholas Craven & Boldy James,Penalty of Leadership,Hip-Hop/Rap,2024,2024-01-12 2:30:00,125,9
Stealth Mode,J. Cole & Bas,Might Delete Later,Hip-Hop/Rap,2024,2024-04-04 23:01:00,113,5
The End,Kings of Leon,Come Around Sundown (Expanded Edition),Alternative,2010,2023-08-12 12:39:00,160,27
Grooviest In the World,Dc2trill,Family Matters,Hip-Hop/Rap,2023,2023-12-05 22:57:00,171,9
Comfortable (feat. Babyface),Lil Wayne,Tha Carter III,Hip-Hop/Rap,2008,2024-05-24 7:38:00,88,6
No Pun Intended,Nicholas Craven & Boldy James,Penalty of Leadership,Hip-Hop/Rap,2023,2024-01-12 2:30:00,87,8
Distant Lover (Remastered 2003),Marvin Gaye,Let's Get It On (Remastered 2003),R&B/Soul,1973,2024-01-11 10:01:00,94,6
Unison,Pinegrove,Everything so Far,Rock,2015,2024-08-17 19:02:00,85,4
Lookin’,NxWorries,Why Lawd?,Hip-Hop/Rap,2024,2024-06-13 23:04:00,93,11
Stickz N Stonez,J. Cole,Might Delete Later,Hip-Hop/Rap,2024,2024-04-04 23:01:00,88,15
Seen,Kings of Leon,Can We Please Have Fun,Rock,2024,2024-05-10 0:27:00,90,6
MoreOfIt,NxWorries,Why Lawd?,Hip-Hop/Rap,2024,2024-06-13 23:04:00,84,3
Battlefield,NxWorries,Why Lawd?,Hip-Hop/Rap,2024,2024-06-13 23:04:00,84,10
Pickup Truck,Kings of Leon,Come Around Sundown (Expanded Edition),Alternative,2010,2024-02-03 12:43:00,75,7
Pi (feat. Daylyt & Ab-Soul),J. Cole,Might Delete Later,Hip-Hop/Rap,2024,2024-04-04 23:01:00,78,9
Huntin’ Wabbitz,J. Cole,Might Delete Later,Hip-Hop/Rap,2024,2024-04-04 23:01:00,89,8
Red Leather,"Future, Metro Boomin & J. Cole",WE STILL DON'T TRUST YOU,Hip-Hop/Rap,2024,2024-04-11 23:16:00,46,6
Green Room,Ken Carson,A Great Chaos,Hip-Hop/Rap,2023,2023-10-14 23:03:00,74,4
Willing To Trust,Kid Cudi & Ty Dolla $ign,Entergalactic,R&B/Soul,2022,2022-10-14 19:25:00,79,10
Pyro,Kings of Leon,Come Around Sundown (Expanded Edition),Alternative,2010,2024-02-03 12:07:00,74,13
Where I Go (feat. H.E.R.),NxWorries & H.E.R.,Why Lawd?,Hip-Hop/Rap,2022,2024-06-11 23:58:00,70,6
T h e  R e t r e a t,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),R&B/Soul,2024,2024-05-10 9:36:00,72,14
